song_name,year,movie,music_composer,singers,lyricist,production_house,music_label,key,tempo,time_signature,genre,description,youtube_link
Raat Akeli Thi,2024,Merry Christmas,Pritam,Arijit Singh; Antara Mitra,Varun Grover,"Tips Films, Matchbox Pictures",Tips Music,Fm,76,4/4,Brooding Romantic Ballad,"""Raat Akeli Thi"" pairs Arijit Singh's emotive baritone with Antara Mitra's atmospheric vocal textures in one of the soundtrack's most pivotal songs, its title (""the night was alone"") directly evoking the film's central premise. Estimated in F minor at a slow ~76 BPM in 4/4, Pritam builds a brooding, minor-key arrangement layering piano, soft strings, and a slow-burning rhythm section that mirrors mounting tension. Varun Grover's lyrics speak of a fateful, solitary night that changes everything. The mood is dark, intimate, and suspenseful, functioning almost as a narrative thread tying the thriller's central twist to its music — heartbreak and danger intertwined in classic Sriram Raghavan fashion.",https://youtu.be/1EK4-g_GfNw?si=vqAS48O7Nc43smR5
Dil Ki Mez,2024,Merry Christmas,Pritam,Shalmali Kholgade,Varun Grover,"Tips Films, Matchbox Pictures",Tips Music,C,96,4/4,Retro Pop,"""Dil Ki Mez"" lightens the soundtrack's noir-heavy mood with Shalmali Kholgade's playful, expressive vocals over a charming retro-pop arrangement. Estimated in C major at a breezy ~96 BPM in 4/4, Pritam blends light percussion, vintage-toned keys, and a catchy melodic hook that recalls classic Hindi film pop from decades past, fitting the period-tinged visual world Raghavan favors. Varun Grover's lyrics use the metaphor of a ""table of the heart"" to describe budding affection and flirtation. The mood is warm, whimsical, and gently romantic — a tonal breather amid the album's brooding, suspense-laced tracks, offering insight into a lighter emotional dimension of the story's central relationship.",https://youtu.be/MLDSMjyT0f8?si=ql0fitWiBxsdES_9
Satyanaas,2024,Chandu Champion,Pritam,Arijit Singh; Nakash Aziz; Dev Negi,Amitabh Bhattacharya,Nadiadwala Grandson Entertainment,T-Series,D,138,4/4,Comic Folk-Pop,"""Satyanaas"" is a high-energy, comic folk-pop number that injects mischievous humor into Chandu Champion's otherwise inspirational sports-drama narrative. Arijit Singh, Nakash Aziz, and Dev Negi trade cheeky verses over an estimated brisk ~138 BPM groove in D major and 4/4, with Pritam layering punchy dhol-style percussion, brass-flavored synth stabs, and a sing-along chorus built for group choreography. Amitabh Bhattacharya's playful, mischievous lyrics describe romantic complications between neighbors with comic exaggeration (""satyanaas"" meaning ""ruin"" used humorously). The mood is boisterous and lighthearted, providing comic relief and village-life texture early in the film before its narrative turns toward Murlikant Petkar's grueling real-life journey.",https://youtu.be/yOO7-qlDSEw?si=f15VHWC1HTcNGzR0
Tu Hai Champion,2024,Chandu Champion,Pritam,Arijit Singh; Amit Mishra,IP Singh,Nadiadwala Grandson Entertainment,T-Series,G,118,4/4,Motivational Anthem,"""Tu Hai Champion"" is the soundtrack's central motivational anthem, built to underscore Murlikant Petkar's against-all-odds journey toward becoming India's first Paralympic gold medalist. Arijit Singh and Amit Mishra's powerful, layered vocals ride an estimated driving ~118 BPM groove in G major and 4/4, with Pritam building from a restrained opening into a soaring, drum-and-string-heavy crescendo by the final chorus — a hallmark of his sports-anthem compositions. IP Singh's lyrics directly affirm inner championship and resilience regardless of circumstance. The mood is uplifting, triumphant, and cinematic, designed for training-montage sequences and to function as the film's emotional and thematic rallying cry.",https://youtu.be/-6l7uufU3z4?si=izydwtXlFKjVctfD
Sarphira,2024,Chandu Champion,Pritam,Sreerama Chandra,Kausar Munir,Nadiadwala Grandson Entertainment,T-Series,Em,128,4/4,Rock Anthem,"""Sarphira"" (""the madly determined one"") channels raw, rebellious energy through Sreerama Chandra's powerful rock-edged vocals, capturing the protagonist's relentless, almost reckless determination. Estimated in E minor at a driving ~128 BPM in 4/4, Pritam builds the track around distorted electric guitar riffs and a propulsive drum pattern, giving it a harder, grittier edge than the soundtrack's other anthemic numbers. Kausar Munir's lyrics celebrate obsessive, unstoppable willpower in pursuit of one's goal. The mood is intense and adrenaline-charged, designed for the film's training and struggle sequences — embodying the single-minded madness required to overcome the physical and bureaucratic obstacles Murlikant Petkar faced on his path to glory.",https://youtu.be/B6qiT8yrZEk?si=2JxmStHYSZ2Mrgiw
Jamoore,2024,Chandu Champion,Pritam,Mame Khan; Kailash Waghmare,Amitabh Bhattacharya,Nadiadwala Grandson Entertainment,T-Series,Am,110,4/4,Rustic Folk,"""Jamoore"" brings an earthy, folk-rooted texture to the Chandu Champion soundtrack, with Mame Khan's distinctive Rajasthani-folk timbre paired against Kailash Waghmare's grounded vocal delivery. Estimated in A minor at a moderate ~110 BPM in 4/4, Pritam layers traditional folk percussion and rustic string instrumentation (likely dholak and ektara-style textures) to evoke rural Indian life. Amitabh Bhattacharya's lyrics use the metaphor of a performer's assistant (""jamoore"") to reflect on perseverance and humble beginnings. The mood is grounded, soulful, and culturally specific, anchoring the film's portrayal of Murlikant Petkar's modest village origins before his extraordinary rise through the army and onto the world Paralympic stage.",https://youtu.be/GXIDQp0gq6g?si=2xWCKhfOVAE67vHg
Jeet Ka Geet,2024,Chandu Champion,Pritam,Shaan,Kausar Munir,Nadiadwala Grandson Entertainment,T-Series,C,100,4/4,Victory Anthem,"""Jeet Ka Geet"" (""song of victory"") is a celebratory triumph anthem featuring Shaan's seasoned, robust vocals, marking the emotional payoff of Murlikant Petkar's hard-fought journey. Estimated in C major at a steady, uplifting ~100 BPM in 4/4, Pritam's arrangement builds with brass-like synth flourishes, full string sections, and a soaring chorus structure characteristic of his victory-themed compositions. Kausar Munir's lyrics directly celebrate hard-won success and vindication after struggle. The mood is jubilant and cathartic, intended to accompany the film's climactic gold-medal moment — functioning as the narrative and musical resolution to the underdog story that the soundtrack's earlier, grittier tracks had been building toward.",https://youtu.be/OQYnhDbrp4A?si=kLFTRfZdmbtHuloU
Na Door Hai Na Paas Hai,2024,Chandu Champion,Pritam,Darshan Raval,Kausar Munir,Nadiadwala Grandson Entertainment,T-Series,Bb,82,4/4,Tender Romantic/Inspirational Ballad,"""Na Door Hai Na Paas Hai"" offers a gentler, more reflective counterpoint to the soundtrack's louder anthems, with Darshan Raval's soft, youthful voice exploring themes of emotional distance and closeness. Estimated in B-flat major at a relaxed ~82 BPM in 4/4, Pritam keeps the arrangement intimate, built around acoustic guitar and warm string textures that swell gently rather than explosively. Kausar Munir's lyrics ponder the paradox of feeling simultaneously near and far from someone or something deeply important. The mood is tender and contemplative, likely scoring quieter emotional beats in Murlikant's story — perhaps relating to distant family or unfulfilled relationships during his demanding pursuit of athletic greatness.",https://youtu.be/rQGq4SeaU-M?si=4uzs9KGYHtFiyIyE
Sarphira (Climax Version),2024,Chandu Champion,Pritam,Mohammed Irfan,Kausar Munir,Nadiadwala Grandson Entertainment,T-Series,Em,130,4/4,Rock Anthem (Alternate Version),"The ""Climax Version"" of ""Sarphira"" reinterprets the soundtrack's rebellious rock anthem through Mohammed Irfan's voice, tailored specifically to underscore the film's climactic moments. The underlying composition retains its estimated E minor tonality and driving ~130 BPM tempo in 4/4, but the arrangement likely intensifies dynamically — heavier guitar distortion and a more urgent rhythmic push — to match a pivotal turning-point scene. Kausar Munir's lyrics about obsessive, unstoppable determination remain the emotional throughline. The mood is even more charged and triumphant than the original version, designed to amplify the emotional stakes of Murlikant Petkar's defining moment of victory or breakthrough within the film's narrative structure.",https://youtu.be/F5yFvb5oW6Q?si=ZoF1CXuGCjdmAxCx
Bhool Bhulaiyaa 3 (Title Track),2024,Bhool Bhulaiyaa 3,"Pritam, Tanishk Bagchi",Pitbull; Diljit Dosanjh; Neeraj Shridhar,Dhrruv Yogi; Sameer Anjaan; Pitbull,"Cine1 Studios, T-Series Films",T-Series,Am,124,4/4,Global Party Dance / EDM-Bollywood Fusion,"The Bhool Bhulaiyaa 3 title track reworks Pritam's original 2007 ""Hare Ram Hare Ram"" hook (sung again by Neeraj Shridhar) into an ambitious global crossover, co-composed with Tanishk Bagchi and featuring international star Pitbull alongside Diljit Dosanjh. Estimated in A minor at a thumping ~124 BPM in 4/4, the track fuses EDM-style production, English verses, and Punjabi-Hindi bilingual energy with the original's iconic Sufi-rock chant. Lyrics by Dhrruv Yogi, Sameer Anjaan, and Pitbull blend romantic infatuation with party-anthem bravado. The mood is maximalist and celebratory — a deliberate large-scale reinvention of a beloved 2007 hook for a horror-comedy franchise aiming squarely at mass commercial spectacle.",https://youtu.be/Cus-6cnyt1s?si=Akpl3yYr0fpUvx4e
Ami Je Tomar 3.0,2024,Bhool Bhulaiyaa 3,"Pritam, Amaal Mallik",Shreya Ghoshal,Sameer Anjaan,"Cine1 Studios, T-Series Films",T-Series,Dm,78,4/4,Bengali Folk-Ballad (Recreation),"""Ami Je Tomar 3.0"" updates Pritam's original haunting Bengali-language ballad from the 2007 Bhool Bhulaiyaa, this time co-composed with Amaal Mallik and reinterpreted by Shreya Ghoshal's classically rich, emotive voice. Estimated in D minor at a slow, mournful ~78 BPM in 4/4, the arrangement retains the original's atmospheric, folk-tinged melancholy — likely layering esraj or sarod-like string textures with subtle modern production polish. Sameer Anjaan's lyrics (rooted in the original Bengali theme) speak of devoted, almost eerie longing, tying directly into the Manjulika mythology central to the franchise. The mood is haunting and sorrowful, reinforcing the film's psychological-horror undertones beneath its comedic surface.",https://youtu.be/FGNc3BibU3o?si=yClI3-jUlev55bnn
Mere Dholna 3.0 (Sonu Nigam Version),2024,Bhool Bhulaiyaa 3,"Pritam, Amaal Mallik",Sonu Nigam,Sameer Anjaan,"Cine1 Studios, T-Series Films",T-Series,Cm,80,4/4,Soulful Ballad (Recreation),"""Mere Dholna 3.0"" reimagines Pritam's beloved original ""Mere Dholna"" (sung by KK in the 2007 Bhool Bhulaiyaa) through Sonu Nigam's seasoned, soulful voice, with Amaal Mallik co-producing the updated arrangement. Estimated in C minor at a measured ~80 BPM in 4/4, the recreation preserves the original's emotionally raw melodic core — built on aching strings and a steady, heartbeat-like rhythm — while modernizing the sonic texture for contemporary production standards. Sameer Anjaan's lyrics depict heartbreak and betrayal by those closest to oneself. The mood is deeply melancholic and nostalgic, deliberately designed to evoke fond memories of the original for longtime fans while folding the lament into the new film's supernatural revenge narrative.",https://youtu.be/xP7wxilM_4U?si=ZVNJBb3LXLR3D-Lr
Zamaana Lage,2025,Metro... In Dino,Pritam,Arijit Singh; Shashwat Singh,Qaisar Ul Jafri; Sandeep Shrivastava,"T-Series Films, Anurag Basu Productions",T-Series,Bm,88,4/4,Alternative Rock / Ghazal-Rock,"The album-opening single ""Zamaana Lage"" sets Metro... In Dino's tone with a moody, atmospheric alternative-rock arrangement, built around an established Qaisar Ul Jafri ghazal couplet woven into Sandeep Shrivastava's hook. Arijit Singh and Shashwat Singh trade emotionally weary verses over an estimated B minor groove at ~88 BPM in 4/4, with Pritam layering understated electric guitar and electronic textures rather than the traditional harmonium of classic ghazal. The mood is restless and urban — reflecting loneliness within city life — sitting in a meditative, slow-burn zone that echoes the original Life in a... Metro's rock sensibility while sounding distinctly more modern and electronic.",https://youtu.be/m8kaNWu-BC4?si=0ICfOEDykD0C9OrV
Dil Ka Kya,2025,Metro... In Dino,Pritam,Raghav Chaitanya,Anurag Sharma,"T-Series Films, Anurag Basu Productions",T-Series,D,76,4/4,Acoustic Ballad,"""Dil Ka Kya"" is an intimate, minimal acoustic ballad carried solely by Raghav Chaitanya's soft, expressive voice — one of two new Metro Band members alongside Papon. Estimated in D major at a relaxed ~76 BPM in 4/4, Pritam strips the arrangement down to gentle acoustic guitar and light percussion, giving the track an indie, almost unplugged charm distinct from the album's bigger orchestral moments. Anurag Sharma's tender, relatable lyrics ponder the heart's unpredictable, whimsical nature. The overall zone is gentle and reflective — a quiet, conversational love song built for introspective scenes rather than grand romantic gestures, and reportedly a fan favorite among the film's cast.",https://youtu.be/uMS2YXQgKTg?si=M9DSGIiI30EXyvwq
Mann Ye Mera,2025,Metro... In Dino,Pritam,Vishal Mishra,Neelesh Misra,"T-Series Films, Anurag Basu Productions",T-Series,Am,82,4/4,Folk-Rock Ballad,"""Mann Ye Mera"" showcases Vishal Mishra's raw, resonant solo voice over Neelesh Misra's introspective, poetic lyricism, a combination known for emotional weight in contemporary Bollywood. Estimated in A minor at ~82 BPM in 4/4, Pritam wraps the composition in earthy acoustic guitar and subtle string orchestration, deliberately understated to let the voice and words carry the song. Described by reviewers as feeling like ""a conversation with your own heart,"" the track sits in a deeply introspective, melancholic zone exploring longing and self-reflection. It's one of the soundtrack's most critically praised tracks, valued for its simplicity and emotional sincerity within the film's mosaic of modern relationship stories.",https://youtu.be/XjRFk1Qq2Nw?si=vZ7Eehvis1GEhRLC
Aur Mohabbat Kitni Karoon,2025,Metro... In Dino,Pritam,Arijit Singh,Sandeep Shrivastava,"T-Series Films, Anurag Basu Productions",T-Series,Gm,70,4/4,Heartbreak Ballad,"One of the soundtrack's most acclaimed singles, ""Aur Mohabbat Kitni Karoon"" finds Arijit Singh delivering pure, unfiltered heartbreak over Pritam's sparse, piano-led arrangement. Estimated in G minor at a slow ~70 BPM in 4/4, the production deliberately stays minimal, letting Arijit's vocal modulation — moving from restrained ache to fuller emotional release — carry the entire weight of the song. Sandeep Shrivastava's lyrics voice unanswered devotion and unfulfilled love, asking how much more one can possibly love. The mood is hushed, vulnerable, and cinematic, representing the soundtrack's emotional peak — described by critics as capturing ""love without words.""",https://youtu.be/XQ9qYw3PTdg?si=HNXFTwba90d1eF0R
Yaad,2025,Metro... In Dino,Pritam,Papon,Momin Khan Momin,"T-Series Films, Anurag Basu Productions",T-Series,Dm,64,4/4,Ghazal / Urdu Poetry-Set,"""Yaad"" is a true lyrical and musical gem, adapting classical Urdu poetry by 19th-century poet Momin Khan Momin into a contemporary ghazal. Papon's soulful, classically-tinged rendition rides an estimated slow D minor melody at ~64 BPM in 4/4, with Pritam favoring a soft, semi-traditional arrangement — likely harmonium-adjacent tones blended with modern strings — to honor the poem's old-world gravity while keeping it accessible. The mood is reverent, melancholic, and timeless, evoking longing for a lost or absent love through classical metaphor. It stands apart from the rest of the soundtrack's contemporary pop-rock leanings, anchoring the album's literary, old-world-charm dimension.",https://youtu.be/f1EBSLyiGnk?si=TeLA-L6YlY9WGcC7
Mausam,2025,Metro... In Dino,Pritam,Arijit Singh,Qaisar Ul Jafri; Sandeep Shrivastava,"T-Series Films, Anurag Basu Productions",T-Series,Em,74,4/4,Cinematic Ballad,"""Mausam"" plays like a gentle, gradually intensifying breeze, with Arijit Singh's emotive control and tonal purity elevating lyrics that use changing seasons as a metaphor for life's unpredictability. Estimated in E minor at ~74 BPM in 4/4, Pritam's arrangement starts sparse and builds steadily — strings and ambient textures swelling like a memory unfolding in slow motion — a hallmark of his cinematic ballad style. The mood is soothing yet quietly emotional, occupying a reflective, atmospheric zone that mirrors the film's themes of shifting relationships and inevitable change, making it one of the soundtrack's most critically singled-out cinematic moments.",https://youtu.be/GRxqJgityTU?si=c-uJOpwVxRIGcL70
Dhaagena Tinak Dhin,2025,Metro... In Dino,Pritam,Sachet Tandon; Akasa Singh,Mayur Puri,"T-Series Films, Anurag Basu Productions",T-Series,C,132,4/4,Desi Pop / Celebratory Dance,"Closing Side A on a celebratory note, ""Dhaagena Tinak Dhin"" injects energy and flair into an otherwise reflective soundtrack. Sachet Tandon and Akasa Singh's lively vocal chemistry rides an estimated brisk ~132 BPM groove in C major and 4/4, with Pritam blending desi percussion (likely dhol-style beats) with urban pop rhythm and a catchy, repeatable hook line. Mayur Puri's playful lyrics keep the tone light, fun, and danceable. Praised by Bollywood Hungama for its ""catchy tune and vibrant visuals,"" the track functions as a burst of joy and contrast — built for celebratory dance sequences and playlists rather than the album's heavier emotional terrain.",https://youtu.be/Wqrx4UTfFzw?si=_f55wlWs7kJC4DbS
Qayde Se,2025,Metro... In Dino,Pritam,Arijit Singh,Amitabh Bhattacharya,"T-Series Films, Anurag Basu Productions",T-Series,Fm,72,4/4,Romantic Ballad,"""Qayde Se"" reunites the celebrated Pritam-Arijit Singh-Amitabh Bhattacharya combination for a tender, reflective ballad about finding unexpected comfort through heartbreak. Estimated in F minor at ~72 BPM in 4/4, the arrangement favors warm piano and gradually layered strings, allowing Arijit's voice to carry both vulnerability and quiet acceptance. Bhattacharya's lyrics describe pain transforming into a strange sense of relief, and devotion settling ""properly"" (qayde se) despite past hurt. The mood is intimate, melancholic-but-hopeful, occupying Pritam's reliable space of grand, heartfelt balladry — and proved popular enough to spawn four separate alternate versions across the Side B release.",https://youtu.be/cCFajGHuJcI?si=dnjEPWQ9fy-DSSFC
Hote Tak,2025,Metro... In Dino,Pritam,Papon,Mirza Ghalib; Sandeep Shrivastava,"T-Series Films, Anurag Basu Productions",T-Series,Cm,66,4/4,Ghazal,"""Hote Tak"" continues the soundtrack's ghazal lineage, this time drawing from the legendary 19th-century poet Mirza Ghalib's verse, reworked with contemporary lines by Sandeep Shrivastava. Papon's soulful, classically-informed voice carries an estimated slow C minor melody at ~66 BPM in 4/4, with Pritam keeping the arrangement modern but restrained — light strings and subtle percussion rather than traditional harmonium-heavy instrumentation. The mood is contemplative and literary, exploring themes of fleeting existence and longing through Ghalib's enduring poetic lens. It exemplifies Pritam's stated approach to this soundtrack: modernizing classical ghazal forms rather than recreating their traditional sound, bridging old-world poetry with current production sensibility.",https://youtu.be/o7UFDGzMRZ4?si=1cfSUW2ko4qq5T_r
Das Haasil Sau Baaki (Acapella),2025,Metro... In Dino,Pritam,Papon; Arjun Chandy; Shashwat Singh; Nikhita Gandhi,Sandeep Shrivastava,"T-Series Films, Anurag Basu Productions",T-Series,G,90,4/4,Acapella / Vocal Harmony,"This acapella rendition of ""Das Haasil Sau Baaki"" strips the song down to pure vocal harmony, with Papon, Arjun Chandy, Shashwat Singh, and Nikhita Gandhi layering voices into intricate, instrument-free textures. Estimated in G major at a moderate ~90 BPM in 4/4, the arrangement relies on call-and-response vocal lines and rhythmic vocal percussion (""para-ra-ree"" syllables) instead of conventional instrumentation. Sandeep Shrivastava's lyrics — whose title translates to ""ten gained, a hundred remain"" — reflect on life's bittersweet incompleteness even amid apparent fulfillment. The mood is warm, communal, and intimate, showcasing Pritam's range by spotlighting vocal arrangement craft over his usual layered instrumental production.",https://youtu.be/QpL-VKgz1YU?si=-8t1ITh8Xo2OgUFY
Ishq Ya Tharak,2025,Metro... In Dino,Pritam,Nikhita Gandhi; Antara Mitra; Shashwat Singh,Amitabh Bhattacharya,"T-Series Films, Anurag Basu Productions",T-Series,A,118,4/4,Contemporary Pop,"""Ishq Ya Tharak"" (""Is it love or just an itch"") is the soundtrack's most contemporary, Gen-Z-flavored track, referencing Tinder swipes and modern dating culture in its lyrics. Nikhita Gandhi, Antara Mitra, and Shashwat Singh's breezy, conversational vocals ride an estimated A major groove at ~118 BPM in 4/4, with Pritam opting for a light, bouncy pop production featuring playful percussion and bright synth touches rather than heavy orchestration. Amitabh Bhattacharya's witty lyrics question whether infatuation is genuine love or fleeting attraction. The mood is fun, self-aware, and modern — a deliberate tonal departure into millennial romance territory, performed on-screen prominently by Aditya Roy Kapur.",https://youtu.be/jsHUmlg6Lz8?si=6BmLNPm1Y9GxgSGw
Qayde Se (Rewind),2025,Metro... In Dino,Pritam,Shreya Ghoshal,Amitabh Bhattacharya,"T-Series Films, Anurag Basu Productions",T-Series,Fm,70,4/4,Romantic Ballad (Alternate Version),"The ""Rewind"" version of ""Qayde Se"" reimagines the original Arijit Singh ballad through Shreya Ghoshal's classically rich, emotive voice, offering a female perspective on the same Amitabh Bhattacharya lyrics about finding strange comfort in heartbreak. The underlying composition retains its estimated F minor key and gentle ~70 BPM tempo in 4/4, with Pritam keeping the core piano-and-strings arrangement largely intact while subtly recoloring it for Ghoshal's vocal texture. The mood remains tender and reflective, but Ghoshal's interpretation brings a softer, more delicate vulnerability than the original. This is one of several alternate takes Pritam built around ""Qayde Se,"" reflecting his tendency to revisit a strong melody from multiple vocal angles.",https://youtu.be/OU1QOWvXd1M?si=7l41k1zD-q2JFFzH
Zamaana Lage (Mood Shift),2025,Metro... In Dino,Pritam,Papon,Qaisar Ul Jafri; Sandeep Shrivastava,"T-Series Films, Anurag Basu Productions",T-Series,Bm,80,4/4,Alternative Rock / Ghazal-Rock (Alternate Version),"The ""Mood Shift"" version of ""Zamaana Lage"" reworks the album-opening single through Papon's voice, softening the original Arijit Singh-Shashwat Singh duet's restless rock edge into something more contemplative. Retaining the underlying estimated B minor tonality but slowing slightly to around ~80 BPM in 4/4, Pritam dials back the electric guitar presence in favor of a more atmospheric, spacious arrangement that suits Papon's warmer, folk-inflected delivery. Qaisar Ul Jafri and Sandeep Shrivastava's lyrics about urban loneliness remain unchanged, but the new mood leans gentler and more melancholic than urgent. It exemplifies how Pritam used alternate ""mood"" versions to extract different emotional registers from the same melody.",https://youtu.be/pcAZG-efk1c?si=MwNZ-BZi9FTF4-Vt
Yaad (Encore),2025,Metro... In Dino,Pritam,B Praak; Shilpa Rao,Momin Khan Momin; Sandeep Shrivastava,"T-Series Films, Anurag Basu Productions",T-Series,Dm,64,4/4,Ghazal (Alternate Duet Version),"The ""Encore"" rendition of ""Yaad"" transforms Papon's solo classical ghazal into a duet between B Praak and Shilpa Rao, adding a male-female vocal dynamic to Momin Khan Momin's adapted Urdu poetry. The arrangement keeps the same estimated D minor key and slow ~64 BPM pulse in 4/4, with Pritam's traditional-leaning instrumentation intact, but the interplay between two distinct vocal timbres gives the longing expressed in the lyrics a more dialogic, conversational quality — as if two people are remembering the same lost love from different sides. The mood remains reverent and old-world, but the added vocal layer deepens its emotional resonance, making this version feel more intimate as a shared lament.",https://youtu.be/8udjJUkq2tg?si=2PAbAXaipcxKiUzm
Qayde Se (Film Version),2025,Metro... In Dino,Pritam,Papon,Amitabh Bhattacharya,"T-Series Films, Anurag Basu Productions",T-Series,Fm,72,4/4,Romantic Ballad (Film Version),"The ""Film Version"" of ""Qayde Se"" is the cut used directly within Metro... In Dino's narrative, sung by Papon in his on-screen role as part of the Metro Band trio alongside Pritam and Raghav Chaitanya. It preserves the song's estimated F minor key and gentle ~72 BPM tempo in 4/4, but trims and restructures the arrangement to fit the film's specific scene timing, likely with a sparser instrumental bed to leave room for dialogue or visual storytelling. Amitabh Bhattacharya's lyrics about heartbreak settling into quiet acceptance remain the emotional anchor. This version underscores Pritam's continuation of the original Metro film's device of band members performing songs diegetically on screen.",https://youtu.be/cCFajGHuJcI?si=PDeir9hsbwVmSPd0
Hote Tak (Reprise),2025,Metro... In Dino,Pritam,Raghav Chaitanya; Shilpa Rao,Mirza Ghalib; Sandeep Shrivastava,"T-Series Films, Anurag Basu Productions",T-Series,Cm,68,4/4,Ghazal (Reprise/Duet Version),"The reprise of ""Hote Tak"" reworks Papon's solo Ghalib-based ghazal into a duet featuring Raghav Chaitanya and Shilpa Rao, adding contrasting vocal textures to the same classical verses. The composition retains its estimated C minor tonality and slow ~68 BPM tempo in 4/4, with Pritam's restrained, modernized ghazal arrangement carried over largely intact. The interplay of Chaitanya's soft, youthful tone against Rao's more seasoned, emotive voice gives the reprise a layered, almost call-and-response intimacy not present in the original solo rendition. The mood remains contemplative and literary, reinforcing the soundtrack's recurring strategy of revisiting key melodies through new vocal pairings to extend their emotional range across the film's narrative.",https://youtu.be/MJd1DmuNph8?si=SHSk37nlBSQbiMZG
Aur Mohabbat Kitni Karoon (Reprise),2025,Metro... In Dino,Pritam,Tulsi Kumar,Sandeep Shrivastava,"T-Series Films, Anurag Basu Productions",T-Series,Gm,70,4/4,Heartbreak Ballad (Reprise),"The reprise of ""Aur Mohabbat Kitni Karoon"" hands the song's raw heartbreak over to Tulsi Kumar, offering a female-voiced counterpart to Arijit Singh's original rendition. The sparse, piano-led arrangement and estimated G minor key at ~70 BPM in 4/4 remain largely consistent with the original, preserving its hushed, vulnerable intimacy. Sandeep Shrivastava's lyrics about unanswered, unconditional devotion take on a slightly different emotional shade through Kumar's smoother, more delicate vocal tone compared to Arijit's anguished delivery. The mood stays tender and melancholic, functioning as a complementary perspective within the film's narrative — likely tied to a different character's version of the same heartbreak explored in the Side A original.",https://youtu.be/gz2l8cFN2_U?si=5vGMmQJqkgUEiEwP
Das Haasil Sau Baaki,2025,Metro... In Dino,Pritam,Raghav Chaitanya; Neeti Mohan,Sandeep Shrivastava,"T-Series Films, Anurag Basu Productions",T-Series,G,92,4/4,Romantic Folk-Pop Duet,"The original, fully-instrumented version of ""Das Haasil Sau Baaki"" pairs Raghav Chaitanya and Neeti Mohan in a warm romantic duet, contrasting with its stripped-down acapella sibling. Estimated in G major at a flowing ~92 BPM in 4/4, Pritam builds a fuller arrangement here with light percussion, acoustic and electric guitar textures, and gentle string accents supporting the vocal interplay. Sandeep Shrivastava's lyrics — about gaining much yet still feeling an unfulfilled void — are delivered with more melodic ornamentation than the acapella cut. The mood is wistful yet melodic, occupying a folk-pop romantic space that emphasizes the lyrical theme of life's persistent, bittersweet incompleteness even amid apparent happiness.",https://youtu.be/YTu6mLMXPFc?si=TJ8loWw5IYQqJPaL
Qayde Se (Reprise),2025,Metro... In Dino,Pritam,Shilpa Rao,Amitabh Bhattacharya,"T-Series Films, Anurag Basu Productions",T-Series,Fm,70,4/4,Romantic Ballad (Reprise),"Yet another iteration of the soundtrack's most-reused melody, the reprise of ""Qayde Se"" is carried by Shilpa Rao's textured, soulful voice, joining Arijit Singh, Shreya Ghoshal, and Papon as the fourth vocalist to interpret this central composition. The arrangement holds to its estimated F minor key and gentle ~70 BPM pace in 4/4, with Pritam's piano-and-strings foundation remaining the emotional backbone across every version. Amitabh Bhattacharya's lyrics about finding unexpected comfort within heartbreak stay constant, but Rao's grittier, more world-weary tone gives this reprise a slightly heavier, more resigned emotional color. Collectively, ""Qayde Se's"" four versions make it the soundtrack's most reworked and thematically central melody.",https://youtu.be/vryhdJA5Udg?si=sN9zpgVg-U4bZwBk
Jab Talak,2026,Cocktail 2,Pritam,Arijit Singh; Akasa; Madhubanti Bagchi,Amitabh Bhattacharya,"Maddock Films, Luv Films",Universal Music,Gm,90,4/4,Romantic Ballad,"The lead single of Cocktail 2, ""Jab Talak"" is a slow-building romantic ballad anchored by Arijit Singh's emotive, slightly raspy vocals, with Akasa and Madhubanti Bagchi adding textured harmonies. Pritam frames the song in an estimated F# minor with a gentle ~90 BPM pulse in straightforward 4/4 time, leaning on his signature piano-and-strings palette layered with soft acoustic guitar and a restrained rhythm section that swells only in the final chorus. Amitabh Bhattacharya's lyrics speak of devotion that outlasts time itself. The mood is intimate and yearning, sitting in that classic Pritam-Imtiaz-style romantic zone — vast, cinematic, but emotionally close, designed to underscore a love story's tender, vulnerable moments rather than its party scenes.",https://youtu.be/W8MfxpJ-EfE?si=1Vkz3Lh4600mZahT
Mashooqa,2026,Cocktail 2,Pritam,Mahmood; Raghav Chaitanya; Ruaa Kayy,Amitabh Bhattacharya,"Maddock Films, Luv Films",Universal Music,Cm,124,4/4,Dance-Pop / Club,"""Mashooqa"" is a high-octane club anthem built for the dance floor, with Pritam fusing bass-heavy commercial groove with modern synth-pop and international dance elements, including Italian-language passages reflecting the film's Sicily setting. Estimated to sit around 124 BPM in C minor and 4/4 time, the track features a multi-singer vocal collective — international artist Mahmood, the versatile Raghav Chaitanya, and Ruaa Kayy — trading lines over pulsing synth bass, four-on-the-floor percussion, and bright electronic stabs. Amitabh Bhattacharya's playful, flirtatious lyrics match the track's high-energy, glamorous party zone. It's unmistakably a big-screen production number meant for spectacle, swagger, and ensemble choreography rather than introspection.",https://youtu.be/7jMzMXpSOjs?si=oRtqvXCUtvkK6-LH
